comuna,total_empresas,empresas_grandes,pct_grande,pct_pyme
MOLINA,53654,270,0.5,99.5
LO ESPEJO,63760,317,0.5,99.5
LA CRUZ,26341,133,0.5,99.5
VICUNA,29792,148,0.5,99.5
CHILLAN,247350,1248,0.5,99.5
LA PINTANA,99834,487,0.49,99.51
CURACAVI,39546,195,0.49,99.51
ALHUE,6857,33,0.48,99.52
LINARES,132383,620,0.47,99.53
QUIRIHUE,12284,57,0.46,99.54
TALTAL,15293,70,0.46,99.54
VILLARRICA,82289,376,0.46,99.54
PENALOLEN,189479,870,0.46,99.54
NANCAGUA,25903,117,0.45,99.55
NATALES,42153,183,0.43,99.57
MALLOA,18185,77,0.42,99.58
QUILPUE,151959,636,0.42,99.58
CALBUCO,29596,123,0.42,99.58
RINCONADA,10373,44,0.42,99.58
NACIMIENTO,24860,102,0.41,99.59
CABRERO,29692,123,0.41,99.59
PENAFLOR,82119,338,0.41,99.59
MAULE,43414,174,0.4,99.6
OVALLE,133846,531,0.4,99.6
CUNCO,18790,74,0.39,99.61
CALDERA,22776,89,0.39,99.61
FRUTILLAR,30823,117,0.38,99.62
CASTRO,69795,256,0.37,99.63
MONTE PATRIA,38345,141,0.37,99.63
CURANILAHUE,29958,109,0.36,99.64
LOTA,32489,117,0.36,99.64
CHIMBARONGO,55028,192,0.35,99.65
HUASCO,11025,39,0.35,99.65
LIMACHE,59668,207,0.35,99.65
PUCON,49516,174,0.35,99.65
ANCUD,65730,230,0.35,99.65
COIHAIQUE,96774,328,0.34,99.66
PUCHUNCAVI,25374,87,0.34,99.66
LITUECHE,9581,33,0.34,99.66
LOS LAGOS,20446,69,0.34,99.66
LA GRANJA,86555,284,0.33,99.67
PLACILLA,14358,47,0.33,99.67
COLLIPULLI,23428,78,0.33,99.67
PUMANQUE,5476,18,0.33,99.67
NOGALES,25624,84,0.33,99.67
FLORIDA,9822,31,0.32,99.68
VICTORIA,43124,136,0.32,99.68
VALLENAR,64887,207,0.32,99.68
LOS VILOS,27121,87,0.32,99.68
EL BOSQUE,119588,381,0.32,99.68
AISEN,36782,119,0.32,99.68
CABILDO,31445,97,0.31,99.69
SALAMANCA,43327,133,0.31,99.69
SAN JAVIER,64902,201,0.31,99.69
ARICA,297382,915,0.31,99.69
FUTRONO,17434,54,0.31,99.69
MARIQUINA,22723,68,0.3,99.7
RIO NEGRO,18409,55,0.3,99.7
CHIGUAYANTE,66354,197,0.3,99.7
LOLOL,11405,34,0.3,99.7
MACHALI,43957,132,0.3,99.7
LAGO RANCO,10329,31,0.3,99.7
PEMUCO,8223,24,0.29,99.71
CHILE CHICO,8758,25,0.29,99.71
PERALILLO,18655,54,0.29,99.71
SAN JOSE DE MAIPO,19828,58,0.29,99.71
CARTAGENA,25563,75,0.29,99.71
LAJA,19287,56,0.29,99.71
YUNGAY,19392,57,0.29,99.71
PARRAL,72961,204,0.28,99.72
RIO BUENO,43626,124,0.28,99.72
YUMBEL,16894,47,0.28,99.72
GORBEA,19998,55,0.28,99.72
LOS ALAMOS,15423,41,0.27,99.73
EMPEDRADO,4387,12,0.27,99.73
SAN CLEMENTE,53976,141,0.26,99.74
MARCHIGUE,11824,31,0.26,99.74
OLMUE,21862,57,0.26,99.74
SAN PEDRO,14862,37,0.25,99.75
PITRUFQUEN,27103,69,0.25,99.75
LANCO,20851,53,0.25,99.75
LOS SAUCES,8048,20,0.25,99.75
PELARCO,13019,33,0.25,99.75
SAN FABIAN,5211,13,0.25,99.75
LA UNION,52009,132,0.25,99.75
RAUCO,14444,35,0.24,99.76
MARIA ELENA,4224,10,0.24,99.76
LAGUNA BLANCA,424,1,0.24,99.76
SANTA JUANA,10317,25,0.24,99.76
LA LIGUA,60143,140,0.23,99.77
TOCOPILLA,26694,62,0.23,99.77
ILLAPEL,42654,100,0.23,99.77
VILLA ALEGRE,21295,46,0.22,99.78
PELLUHUE,13063,29,0.22,99.78
VILLA ALEMANA,98259,219,0.22,99.78
CERRO NAVIA,89009,200,0.22,99.78
SAN ROSENDO,2283,5,0.22,99.78
SAN CARLOS,82132,178,0.22,99.78
CURARREHUE,5861,13,0.22,99.78
SAN VICENTE,76426,158,0.21,99.79
ERCILLA,5277,11,0.21,99.79
PUNITAQUI,11124,23,0.21,99.79
QUILLECO,7786,16,0.21,99.79
NUEVA IMPERIAL,28096,59,0.21,99.79
YERBAS BUENAS,26191,55,0.21,99.79
CANETE,37926,77,0.2,99.8
CONTULMO,5919,11,0.19,99.81
COIHUECO,32006,62,0.19,99.81
PUENTE ALTO,424054,757,0.18,99.82
SAN NICOLAS,12546,22,0.18,99.82
MAULLIN,14797,26,0.18,99.82
RIO CLARO,18582,33,0.18,99.82
QUEMCHI,7676,13,0.17,99.83
PINTO,16805,28,0.17,99.83
CAMARONES,1811,3,0.17,99.83
CUREPTO,9735,17,0.17,99.83
SANTA BARBARA,16990,28,0.16,99.84
TRAIGUEN,21977,36,0.16,99.84
QUINTA DE TILCOCO,19240,31,0.16,99.84
CANELA,8949,14,0.16,99.84
LEBU,22305,35,0.16,99.84
QUILLON,21988,34,0.15,99.85
TOME,50572,78,0.15,99.85
EL CARMEN,16676,23,0.14,99.86
FREIRINA,7040,10,0.14,99.86
CATEMU,16287,23,0.14,99.86
SAN RAMON,65450,84,0.13,99.87
CHEPICA,24770,33,0.13,99.87
GALVARINO,7678,10,0.13,99.87
MAFIL,8485,11,0.13,99.87
LO PRADO,68734,92,0.13,99.87
SAN IGNACIO,18266,24,0.13,99.87
LONCOCHE,23494,29,0.12,99.88
MULCHEN,29524,36,0.12,99.88
LONGAVI,50213,57,0.11,99.89
COLBUN,26122,28,0.11,99.89
PERQUENCO,6202,7,0.11,99.89
PALENA,3146,3,0.1,99.9
TEODORO SCHMIDT,15404,15,0.1,99.9
TOLTEN,9561,10,0.1,99.9
LOS MUERMOS,25214,24,0.1,99.9
COCHAMO,5646,5,0.09,99.91
CAUQUENES,61830,55,0.09,99.91
FRESIA,15983,13,0.08,99.92
TIRUA,7935,6,0.08,99.92
PUTAENDO,20579,16,0.08,99.92
PUREN,14172,12,0.08,99.92
SAN PEDRO DE ATACAMA,15018,12,0.08,99.92
PICA,7298,5,0.07,99.93
PAREDONES,8143,6,0.07,99.93
FUTALEUFU,6369,4,0.06,99.94
PICHILEMU,34204,22,0.06,99.94
LONQUIMAY,9473,6,0.06,99.94
EL QUISCO,21739,13,0.06,99.94
LA HIGUERA,4865,3,0.06,99.94
COCHRANE,6061,3,0.05,99.95
QUINCHAO,7598,4,0.05,99.95
CURACAUTIN,27740,15,0.05,99.95
RETIRO,41528,21,0.05,99.95
GUAITECAS,1888,1,0.05,99.95
NAVIDAD,7657,4,0.05,99.95
PORTEZUELO,4898,2,0.04,99.96
COINCO,9324,4,0.04,99.96
RENAICO,9798,4,0.04,99.96
LICANTEN,11560,5,0.04,99.96
ANTUCO,3876,1,0.03,99.97
COMBARBALA,13677,4,0.03,99.97
HUALAIHUE,7675,2,0.03,99.97
PUQUELDON,3711,1,0.03,99.97
SAN JUAN DE LA COSTA,4757,1,0.02,99.98
CHOLCHOL,4724,1,0.02,99.98
CARAHUE,23022,5,0.02,99.98
CHANCO,9791,2,0.02,99.98
PETORCA,13087,3,0.02,99.98
QUEILEN,5663,1,0.02,99.98
RIO HURTADO,5396,1,0.02,99.98
MELIPEUCO,4517,1,0.02,99.98
NIQUEN,17153,3,0.02,99.98
PAIHUANO,8186,2,0.02,99.98
RIO IBANEZ,6842,1,0.01,99.99
CISNES,11924,1,0.01,99.99
ALTO DEL CARMEN,7974,1,0.01,99.99
HUALANE,16719,2,0.01,99.99
ANTARTICA,99,0,0.0,100.0
OLLAGUE,296,0,0.0,100.0
O'HIGGINS,1188,0,0.0,100.0
NINHUE,4480,0,0.0,100.0
JUAN FERNANDEZ,1682,0,0.0,100.0
TORRES DEL PAINE,574,0,0.0,100.0
GENERAL LAGOS,249,0,0.0,100.0
PUTRE,2470,0,0.0,100.0
PRIMAVERA,1056,0,0.0,100.0
COLCHANE,603,0,0.0,100.0
QUILACO,3821,0,0.0,100.0
SAAVEDRA,8782,0,0.0,100.0
CHAITEN,7276,0,0.0,100.0
COBQUECURA,4263,0,0.0,100.0
RIO VERDE,262,0,0.0,100.0
CAMINA,1491,0,0.0,100.0
ALTO BIOBIO,1958,0,0.0,100.0
